iter	Passed	Remaining
0	142	142151
1	144	72271
2	146	48786
3	148	37058
4	151	30166
5	153	25392
6	154	21975
7	156	19378
8	157	17389
9	159	15812
10	161	14511
11	163	13423
12	164	12510
13	166	11720
14	168	11036
15	169	10438
16	171	9912
17	173	9448
18	174	9025
19	176	8644
20	178	8302
21	179	7989
22	181	7704
23	183	7442
24	184	7194
25	186	6970
26	187	6769
27	189	6580
28	191	6401
29	192	6235
30	194	6078
31	196	5933
32	197	5795
33	199	5665
34	201	5549
35	202	5433
36	204	5322
37	206	5216
38	207	5121
39	209	5027
40	211	4936
41	212	4850
42	214	4774
43	216	4699
44	217	4623
45	219	4552
46	221	4483
47	222	4416
48	224	4355
49	226	4294
50	227	4236
51	229	4178
52	230	4123
53	232	4070
54	233	4020
55	235	3970
56	237	3922
57	238	3876
58	240	3832
59	241	3790
60	243	3748
61	245	3708
62	246	3668
63	248	3629
64	249	3592
65	251	3556
66	252	3521
67	254	3487
68	256	3459
69	258	3429
70	260	3404
71	262	3379
72	264	3352
73	265	3325
74	267	3296
75	268	3269
76	270	3243
77	272	3217
78	273	3191
79	275	3167
80	277	3143
81	278	3118
82	280	3095
83	281	3072
84	283	3050
85	285	3030
86	286	3008
87	288	2987
88	289	2967
89	291	2947
90	293	2926
91	294	2908
92	295	2883
93	297	2864
94	299	2853
95	301	2835
96	302	2818
97	304	2800
98	306	2785
99	307	2769
100	309	2752
101	310	2736
102	312	2723
103	314	2710
104	316	2697
105	318	2685
106	319	2670
107	321	2656
108	323	2642
109	324	2628
110	326	2615
111	328	2602
112	329	2588
113	330	2571
114	332	2558
115	334	2545
116	335	2532
117	337	2521
118	338	2508
119	340	2496
120	342	2484
121	343	2472
122	345	2460
123	346	2447
124	348	2436
125	349	2425
126	351	2415
127	352	2404
128	354	2393
129	356	2383
130	357	2372
131	359	2362
132	360	2351
133	362	2341
134	363	2330
135	365	2319
136	366	2310
137	368	2300
138	370	2292
139	372	2286
140	374	2279
141	376	2274
142	378	2267
143	380	2261
144	382	2255
145	384	2251
146	386	2242
147	388	2234
148	389	2225
149	391	2216
150	392	2208
151	394	2200
152	395	2191
153	397	2182
154	398	2174
155	400	2166
156	402	2158
157	403	2150
158	405	2142
159	406	2134
160	408	2127
161	409	2119
162	411	2111
163	413	2105
164	414	2099
165	416	2092
166	418	2085
167	419	2078
168	421	2072
169	423	2065
170	424	2058
171	426	2051
172	428	2046
173	429	2039
174	431	2032
175	432	2025
176	434	2018
177	435	2012
178	437	2005
179	438	1998
180	440	1991
181	441	1985
182	443	1981
183	445	1977
184	447	1972
185	449	1968
186	451	1964
187	453	1959
188	455	1956
189	457	1952
190	460	1948
191	461	1944
192	463	1939
193	465	1935
194	467	1931
195	469	1927
196	471	1923
197	474	1920
198	475	1915
199	478	1913
200	480	1909
201	482	1906
202	485	1904
203	488	1905
204	491	1906
205	494	1906
206	497	1904
207	499	1901
208	501	1898
209	503	1894
210	505	1891
211	507	1887
212	509	1882
213	511	1877
214	512	1871
215	514	1867
216	516	1863
217	518	1860
218	520	1857
219	522	1853
220	524	1847
221	525	1842
222	527	1837
223	528	1832
224	530	1827
225	531	1821
226	533	1816
227	535	1813
228	537	1809
229	538	1803
230	540	1798
231	541	1793
232	543	1788
233	544	1783
234	546	1778
235	547	1772
236	549	1768
237	551	1766
238	553	1762
239	555	1759
240	557	1754
241	558	1750
242	560	1745
243	561	1740
244	563	1735
245	564	1729
246	566	1727
247	568	1723
248	570	1719
249	571	1715
250	573	1710
251	574	1706
252	576	1701
253	577	1697
254	579	1692
255	581	1689
256	583	1686
257	585	1683
258	587	1679
259	588	1675
260	590	1671
261	591	1667
262	593	1662
263	594	1658
264	596	1655
265	598	1651
266	599	1647
267	601	1643
268	603	1639
269	604	1635
270	606	1631
271	608	1627
272	609	1623
273	611	1619
274	612	1615
275	614	1612
276	616	1608
277	617	1604
278	619	1600
279	620	1596
280	622	1592
281	623	1588
282	625	1584
283	627	1580
284	628	1576
285	630	1573
286	631	1569
287	633	1566
288	634	1562
289	636	1558
290	637	1554
291	639	1550
292	640	1546
293	642	1543
294	644	1540
295	646	1537
296	647	1533
297	649	1530
298	651	1527
299	653	1523
300	654	1520
301	656	1516
302	658	1514
303	659	1510
304	661	1506
305	662	1503
306	664	1499
307	665	1495
308	667	1492
309	668	1488
310	670	1485
311	672	1482
312	674	1479
313	676	1476
314	677	1474
315	679	1471
316	681	1468
317	683	1465
318	685	1462
319	687	1460
320	689	1458
321	690	1454
322	692	1451
323	694	1448
324	695	1444
325	697	1441
326	698	1438
327	700	1434
328	701	1431
329	703	1429
330	705	1426
331	707	1423
332	708	1419
333	709	1415
334	711	1412
335	712	1408
336	714	1405
337	716	1402
338	717	1399
339	719	1396
340	720	1392
341	722	1389
342	723	1386
343	724	1381
344	726	1378
345	727	1375
346	729	1372
347	730	1369
348	732	1366
349	733	1363
350	735	1359
351	736	1356
352	738	1353
353	739	1350
354	741	1347
355	743	1344
356	745	1342
357	747	1339
358	748	1336
359	750	1333
360	752	1331
361	754	1329
362	756	1327
363	758	1325
364	760	1323
365	762	1320
366	763	1317
367	765	1314
368	767	1311
369	768	1308
370	769	1305
371	771	1302
372	773	1299
373	774	1296
374	776	1293
375	777	1290
376	779	1288
377	781	1285
378	782	1282
379	784	1279
380	785	1276
381	787	1273
382	788	1270
383	790	1267
384	791	1265
385	793	1262
386	795	1259
387	796	1256
388	798	1253
389	799	1250
390	801	1247
391	802	1245
392	804	1242
393	806	1239
394	807	1236
395	809	1234
396	810	1231
397	812	1228
398	813	1225
399	815	1222
400	816	1220
401	818	1217
402	819	1214
403	821	1211
404	823	1209
405	824	1206
406	826	1203
407	827	1200
408	829	1198
409	830	1195
410	832	1192
411	833	1189
412	834	1186
413	836	1183
414	837	1181
415	839	1178
416	841	1175
417	842	1173
418	844	1170
419	845	1167
420	847	1165
421	848	1162
422	850	1160
423	852	1157
424	853	1155
425	855	1152
426	857	1150
427	858	1147
428	859	1144
429	861	1142
430	863	1139
431	864	1137
432	866	1134
433	868	1132
434	869	1129
435	871	1126
436	872	1124
437	874	1121
438	875	1119
439	877	1116
440	878	1114
441	880	1111
442	882	1109
443	884	1107
444	886	1105
445	888	1103
446	889	1100
447	891	1098
448	892	1095
449	894	1093
450	896	1091
451	897	1088
452	899	1086
453	901	1083
454	902	1081
455	904	1078
456	905	1076
457	907	1073
458	908	1071
459	910	1068
460	911	1066
461	913	1063
462	914	1061
463	916	1058
464	917	1056
465	919	1053
466	920	1051
467	922	1048
468	924	1046
469	926	1044
470	928	1042
471	930	1040
472	932	1038
473	933	1035
474	935	1033
475	936	1031
476	938	1028
477	939	1026
478	941	1024
479	943	1022
480	945	1019
481	946	1017
482	948	1015
483	949	1012
484	951	1010
485	953	1008
486	954	1005
487	956	1003
488	958	1001
489	960	999
490	961	997
491	963	994
492	965	992
493	966	990
494	968	988
495	970	985
496	971	983
497	973	981
498	975	979
499	977	977
500	978	974
501	980	972
502	981	970
503	983	967
504	985	965
505	986	963
506	988	961
507	990	959
508	992	957
509	993	954
510	995	952
511	996	949
512	997	947
513	999	945
514	1001	942
515	1003	940
516	1004	938
517	1006	936
518	1008	934
519	1010	932
520	1011	930
521	1013	928
522	1015	925
523	1017	923
524	1019	922
525	1021	920
526	1022	917
527	1024	915
528	1026	913
529	1027	911
530	1029	908
531	1030	906
532	1031	904
533	1034	902
534	1038	902
535	1040	900
536	1041	898
537	1043	895
538	1044	893
539	1046	891
540	1047	889
